Series Name	Series Code	Country Name	Country Code	2005 [YR2005]	2006 [YR2006]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]	2016 [YR2016]	2017 [YR2017]	2018 [YR2018]
"Mortality rate, adult, female (per 1,000 female adults)"	SP.DYN.AMRT.FE	Italy	ITA	44.227	42.879	42.169	41.68	41.986	40.179	40.454	39.591	38.426	37.246	..	..	..	..
"Mortality rate, adult, female (per 1,000 female adults)"	SP.DYN.AMRT.FE	Japan	JPN	45.05	44.097	43.215	42.702	41.634	41.423	45.216	39.807	39.181	38.712	37.102	36.953	35.709	..
"Mortality rate, adult, female (per 1,000 female adults)"	SP.DYN.AMRT.FE	Hungary	HUN	107.4	103.721	106.415	100.347	98.903	94.911	92.995	89.303	85.688	83.854	85.926	79.709	80.586	..
"Mortality rate, adult, female (per 1,000 female adults)"	SP.DYN.AMRT.FE	Germany	DEU	57.71	56.008	55.294	54.726	54.228	53.275	52.91	51.099	51.743	49.597	50.173	49.545	48.026	..
"Mortality rate, adult, female (per 1,000 female adults)"	SP.DYN.AMRT.FE	France	FRA	56.754	56.165	54.815	55.022	55.372	53.661	52.553	51.592	50.507	49.309	49.377	48.279	48.187	..
"Mortality rate, adult, female (per 1,000 female adults)"	SP.DYN.AMRT.FE	Finland	FIN	62.699	57.272	56.788	56.723	55.862	53.674	50.994	50.735	48.4	45.191	43.46	43.088	44.831	44.026
"Mortality rate, adult, female (per 1,000 female adults)"	SP.DYN.AMRT.FE	Denmark	DNK	69.267	68.409	69.511	67.182	64.924	63.005	59.047	57.616	54.62	51.817	51.397	51.652	..	..
"Mortality rate, adult, female (per 1,000 female adults)"	SP.DYN.AMRT.FE	Czech Republic	CZE	69.669	66.353	64.729	65.342	62.774	60.281	59.481	58.327	56.719	53.382	52.944	53.283	51.325	..
"Mortality rate, adult, female (per 1,000 female adults)"	SP.DYN.AMRT.FE	Canada	CAN	57.101	55.857	55.455	55.879	54.772	52.65	52.682	52.491	51.077	51.522	50.907	51.763	..	..
"Mortality rate, adult, female (per 1,000 female adults)"	SP.DYN.AMRT.FE	Brazil	BRA	111.325	109.011	106.696	105.214	103.733	102.251	100.77	99.288	97.893	96.498	95.103	93.708	92.313	91.421
"Mortality rate, adult, female (per 1,000 female adults)"	SP.DYN.AMRT.FE	Belgium	BEL	62.164	61.11	63.062	61.626	61.099	59.259	59.442	57.003	57.458	53.212	53.933	51.237	49.29	49.245
"Mortality rate, adult, female (per 1,000 female adults)"	SP.DYN.AMRT.FE	Austria	AUT	55.201	51.442	51.858	50.262	50.079	48.689	49.353	46.708	45.326	46.009	44.687	43.796	41.779	..
"Mortality rate, adult, female (per 1,000 female adults)"	SP.DYN.AMRT.FE	Spain	ESP	44.35	43.231	43.05	43.44	42.183	40.911	41.086	39.432	39.35	38.499	38.807	37.537	..	..
"Mortality rate, adult, female (per 1,000 female adults)"	SP.DYN.AMRT.FE	Sweden	SWE	51.076	49.434	47.552	47.389	46.728	43.121	43.573	43.703	43.703	42.586	39.95	39.668	39.084	38.431
"Mortality rate, adult, female (per 1,000 female adults)"	SP.DYN.AMRT.FE	Switzerland	CHE	46.004	46.738	45.549	42.969	42.165	42.675	40.045	39.904	38.848	36.652	36.484	35.896	..	..
"Mortality rate, adult, male (per 1,000 male adults)"	SP.DYN.AMRT.MA	United Kingdom	GBR	97.444	99.258	97.559	96.722	94.258	91.112	87.285	83.932	85.193	83.909	84.738	86.107	..	..
"Mortality rate, adult, male (per 1,000 male adults)"	SP.DYN.AMRT.MA	United States	USA	141.969	141.119	138.605	136.811	134.966	131.884	132.128	131.335	131.229	131.838	134.263	138.455	139.141	..
"Mortality rate, adult, male (per 1,000 male adults)"	SP.DYN.AMRT.MA	Russian Federation	RUS	464.707	427.15	400.361	394.27	369.933	365.448	346.714	332.064	321.874	321.526	..	..	..	..
"Mortality rate, adult, male (per 1,000 male adults)"	SP.DYN.AMRT.MA	Netherlands	NLD	82.862	80.784	78.375	78.423	75.442	74.179	72.066	71.928	70.412	67.33	66.691	65.56	..	..
"Mortality rate, adult, male (per 1,000 male adults)"	SP.DYN.AMRT.MA	Italy	ITA	84.326	82.918	80.474	78.486	76.342	73.032	71.91	70.347	67.386	65.423	..	..	..	..
"Mortality rate, adult, male (per 1,000 male adults)"	SP.DYN.AMRT.MA	Japan	JPN	92.566	89.021	87.078	85.281	84.319	82.722	83.161	76.891	74.932	72.352	69.979	68.456	66.483	..
"Mortality rate, adult, male (per 1,000 male adults)"	SP.DYN.AMRT.MA	Hungary	HUN	256.342	249.886	245.63	233.087	228.461	218.943	206.225	195.724	182.243	179.963	177.627	172.279	168.058	..
"Mortality rate, adult, male (per 1,000 male adults)"	SP.DYN.AMRT.MA	Germany	DEU	111.806	108.484	106.198	104.309	103.586	101.933	98.648	95.548	94.684	91.119	92.451	89.99	86.511	..
"Mortality rate, adult, male (per 1,000 male adults)"	SP.DYN.AMRT.MA	France	FRA	126.589	123.283	120.77	118.248	118.419	115.675	112.591	109.097	105.322	100.472	101.59	97.881	95.352	..
"Mortality rate, adult, male (per 1,000 male adults)"	SP.DYN.AMRT.MA	Finland	FIN	137.234	132.326	133.39	129.197	123.904	120.426	115.107	107.947	104.734	99.195	94.247	94.934	90.175	89.21
"Mortality rate, adult, male (per 1,000 male adults)"	SP.DYN.AMRT.MA	Denmark	DNK	111.142	115.834	115.937	107.446	106.703	104.849	97.155	92.572	90.145	86.724	82.945	82.426	..	..
"Mortality rate, adult, male (per 1,000 male adults)"	SP.DYN.AMRT.MA	Czech Republic	CZE	154.618	146.736	145.864	143.699	138.751	135.428	131.678	125.75	120.786	114.592	112.133	108.916	108.785	..
"Mortality rate, adult, male (per 1,000 male adults)"	SP.DYN.AMRT.MA	Canada	CAN	94.329	91.806	91.762	89.926	87.745	85.388	82.887	82.41	81.149	81.347	81.082	82.625	..	..
"Mortality rate, adult, male (per 1,000 male adults)"	SP.DYN.AMRT.MA	Brazil	BRA	225.268	221.268	217.268	214.047	210.825	207.604	204.383	201.161	198.648	196.135	193.622	191.109	188.596	188.528
"Mortality rate, adult, male (per 1,000 male adults)"	SP.DYN.AMRT.MA	Belgium	BEL	114.317	110.936	109.277	111.631	107.237	102.029	100.338	98.967	94.257	91.363	89.305	86.08	82.796	80.262
"Mortality rate, adult, male (per 1,000 male adults)"	SP.DYN.AMRT.MA	Austria	AUT	111.759	105.344	104.253	99.617	103.061	100.315	94.356	91.335	89.369	85.621	84.688	80.37	79.032	..
"Mortality rate, adult, male (per 1,000 male adults)"	SP.DYN.AMRT.MA	Spain	ESP	107.352	103.369	100.531	96.788	92.228	88.989	85.896	83.203	79.558	77.498	76.998	74.537	..	..
"Mortality rate, adult, male (per 1,000 male adults)"	SP.DYN.AMRT.MA	Sweden	SWE	79.604	77.773	77.631	75.892	74.488	71.863	70.821	68.068	67.302	66.376	66.933	63.956	63.288	62.062
"Mortality rate, adult, male (per 1,000 male adults)"	SP.DYN.AMRT.MA	Switzerland	CHE	84.241	79.749	78.545	75.467	75.903	71.146	68.348	66.999	66.885	63.344	62.284	58.204	..	..
"Prevalence of HIV, male (% ages 15-24)"	SH.HIV.1524.MA.ZS	United Kingdom	GBR	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Prevalence of HIV, male (% ages 15-24)"	SH.HIV.1524.MA.ZS	United States	USA	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Prevalence of HIV, male (% ages 15-24)"	SH.HIV.1524.MA.ZS	Russian Federation	RUS	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Prevalence of HIV, male (% ages 15-24)"	SH.HIV.1524.MA.ZS	Netherlands	NLD	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	..
"Prevalence of HIV, male (% ages 15-24)"	SH.HIV.1524.MA.ZS	Italy	ITA	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"Prevalence of HIV, male (% ages 15-24)"	SH.HIV.1524.MA.ZS	Japan	JPN	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"Prevalence of HIV, male (% ages 15-24)"	SH.HIV.1524.MA.ZS	Hungary	HUN	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"Prevalence of HIV, male (% ages 15-24)"	SH.HIV.1524.MA.ZS	Germany	DEU	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"Prevalence of HIV, male (% ages 15-24)"	SH.HIV.1524.MA.ZS	France	FRA	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"Prevalence of HIV, male (% ages 15-24)"	SH.HIV.1524.MA.ZS	Finland	FIN	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"Prevalence of HIV, male (% ages 15-24)"	SH.HIV.1524.MA.ZS	Denmark	DNK	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"Prevalence of HIV, male (% ages 15-24)"	SH.HIV.1524.MA.ZS	Czech Republic	CZE	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"Prevalence of HIV, male (% ages 15-24)"	SH.HIV.1524.MA.ZS	Canada	CAN	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Prevalence of HIV, male (% ages 15-24)"	SH.HIV.1524.MA.ZS	Brazil	BRA	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Prevalence of HIV, male (% ages 15-24)"	SH.HIV.1524.MA.ZS	Belgium	BEL	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Prevalence of HIV, male (% ages 15-24)"	SH.HIV.1524.MA.ZS	Austria	AUT	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Prevalence of HIV, male (% ages 15-24)"	SH.HIV.1524.MA.ZS	Spain	ESP	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"Prevalence of HIV, male (% ages 15-24)"	SH.HIV.1524.MA.ZS	Sweden	SWE	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Prevalence of HIV, male (% ages 15-24)"	SH.HIV.1524.MA.ZS	Switzerland	CHE	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Prevalence of HIV, female (% ages 15-24)"	SH.HIV.1524.FE.ZS	United Kingdom	GBR	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Prevalence of HIV, female (% ages 15-24)"	SH.HIV.1524.FE.ZS	United States	USA	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Prevalence of HIV, female (% ages 15-24)"	SH.HIV.1524.FE.ZS	Russian Federation	RUS	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Prevalence of HIV, female (% ages 15-24)"	SH.HIV.1524.FE.ZS	Netherlands	NLD	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	..
"Prevalence of HIV, female (% ages 15-24)"	SH.HIV.1524.FE.ZS	Italy	ITA	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"Prevalence of HIV, female (% ages 15-24)"	SH.HIV.1524.FE.ZS	Japan	JPN	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"Prevalence of HIV, female (% ages 15-24)"	SH.HIV.1524.FE.ZS	Hungary	HUN	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"Prevalence of HIV, female (% ages 15-24)"	SH.HIV.1524.FE.ZS	Germany	DEU	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"Prevalence of HIV, female (% ages 15-24)"	SH.HIV.1524.FE.ZS	France	FRA	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"Prevalence of HIV, female (% ages 15-24)"	SH.HIV.1524.FE.ZS	Finland	FIN	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"Prevalence of HIV, female (% ages 15-24)"	SH.HIV.1524.FE.ZS	Denmark	DNK	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"Prevalence of HIV, female (% ages 15-24)"	SH.HIV.1524.FE.ZS	Czech Republic	CZE	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"Prevalence of HIV, female (% ages 15-24)"	SH.HIV.1524.FE.ZS	Canada	CAN	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Prevalence of HIV, female (% ages 15-24)"	SH.HIV.1524.FE.ZS	Brazil	BRA	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Prevalence of HIV, female (% ages 15-24)"	SH.HIV.1524.FE.ZS	Belgium	BEL	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Prevalence of HIV, female (% ages 15-24)"	SH.HIV.1524.FE.ZS	Austria	AUT	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Prevalence of HIV, female (% ages 15-24)"	SH.HIV.1524.FE.ZS	Spain	ESP	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"Prevalence of HIV, female (% ages 15-24)"	SH.HIV.1524.FE.ZS	Sweden	SWE	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Prevalence of HIV, female (% ages 15-24)"	SH.HIV.1524.FE.ZS	Switzerland	CHE	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Public spending on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS	United Kingdom	GBR	4.96651	5.01231	4.94507	4.91991	5.10687	5.74164	5.6462	..	5.58823	5.66499	5.60939	5.48697	..	..
"Public spending on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS	United States	USA	..	..	..	..	..	..	..	..	4.93105	4.96174	..	..	..	..
"Public spending on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS	Russian Federation	RUS	3.77193	3.86626	..	4.10175	..	..	..	3.78973	3.75621	4.01244	3.83372	3.74303	..	..
"Public spending on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS	Netherlands	NLD	5.1094	5.04402	4.88683	5.02905	5.43156	5.48909	5.46304	5.41022	5.52656	5.4589	5.34816	5.4796	..	..
"Public spending on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS	Italy	ITA	4.24942	4.53777	4.11852	4.40287	4.53631	4.35239	4.14407	4.08391	4.16472	4.07525	4.08169	3.82926	..	..
"Public spending on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS	Japan	JPN	..	..	..	..	..	..	..	..	3.66538	3.59059	..	3.18618	..	..
"Public spending on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS	Hungary	HUN	5.32835	5.30903	5.14728	4.97793	4.96436	4.76895	4.60079	4.17353	4.20357	4.63313	4.5721	4.71078	..	..
"Public spending on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS	Germany	DEU	..	4.2793	4.34303	4.40954	4.88048	4.91368	4.8078	4.93331	4.93497	4.92086	4.80518	4.80093	..	..
"Public spending on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS	France	FRA	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Public spending on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS	Finland	FIN	6.03606	5.9381	5.68609	5.84677	6.48518	6.54071	6.48201	7.19254	7.15848	7.15156	7.08008	6.89735	..	..
"Public spending on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS	Denmark	DNK	8.08557	7.72991	7.6156	7.47605	8.44888	8.55955	8.48486	7.23782	8.49443	7.63485	..	..	..	..
"Public spending on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS	Czech Republic	CZE	3.89038	4.2171	3.86663	3.74455	4.17128	4.06446	4.27214	4.25086	4.09089	3.99462	5.78885	5.58738	..	..
"Public spending on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS	Canada	CAN	4.78215	..	4.78036	4.63826	4.85264	5.36993	5.27444	..	..	..	..	..	..	..
"Public spending on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS	Brazil	BRA	4.47908	4.8706	4.97426	5.26884	5.46355	5.6488	5.73741	5.8551	5.83885	5.94848	6.24106	..	..	..
"Public spending on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS	Belgium	BEL	5.76901	..	..	6.29139	6.41536	6.40799	6.37874	..	6.63966	6.63852	6.53944	6.54513	..	..
"Public spending on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS	Austria	AUT	5.24937	5.22652	5.1469	5.26396	5.73025	5.70048	5.59227	5.4804	5.54711	5.44762	5.45675	5.5007	..	..
"Public spending on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS	Spain	ESP	4.13003	4.16759	4.23332	4.50094	4.86771	4.81912	4.86633	4.43188	4.32834	4.2799	4.27239	4.20911	..	..
"Public spending on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS	Sweden	SWE	6.552	6.40292	6.20767	6.38304	6.8505	6.61479	6.4832	7.64774	7.70949	7.67329	7.5483	7.66993	..	..
"Public spending on education, total (% of GDP)"	SE.XPD.TOTL.GD.ZS	Switzerland	CHE	5.2041	4.96158	4.68738	4.86799	5.04118	4.92605	4.96986	5.03337	5.04048	5.05123	5.10057	5.11332	..	..
"Suicide mortality rate, female (per 100,000 female population)"	SH.STA.SUIC.FE.P5	United Kingdom	GBR	4.5	..	..	..	..	3.9	..	..	..	..	4.5	4.4	..	..
"Suicide mortality rate, female (per 100,000 female population)"	SH.STA.SUIC.FE.P5	United States	USA	5.4	..	..	..	..	5.9	..	..	..	..	7.1	7.2	..	..
"Suicide mortality rate, female (per 100,000 female population)"	SH.STA.SUIC.FE.P5	Russian Federation	RUS	16	..	..	..	..	12.5	..	..	..	..	9.9	9.4	..	..
"Suicide mortality rate, female (per 100,000 female population)"	SH.STA.SUIC.FE.P5	Netherlands	NLD	6.4	..	..	..	..	6	..	..	..	..	9	9	..	..
"Suicide mortality rate, female (per 100,000 female population)"	SH.STA.SUIC.FE.P5	Italy	ITA	3.9	..	..	..	..	3.8	..	..	..	..	4.5	4.5	..	..
"Suicide mortality rate, female (per 100,000 female population)"	SH.STA.SUIC.FE.P5	Japan	JPN	13.6	..	..	..	..	14.1	..	..	..	..	11.8	11.4	..	..
"Suicide mortality rate, female (per 100,000 female population)"	SH.STA.SUIC.FE.P5	Hungary	HUN	11.8	..	..	..	..	11.4	..	..	..	..	10.1	9.6	..	..
"Suicide mortality rate, female (per 100,000 female population)"	SH.STA.SUIC.FE.P5	Germany	DEU	7.2	..	..	..	..	7	..	..	..	..	7.8	7.7	..	..
"Suicide mortality rate, female (per 100,000 female population)"	SH.STA.SUIC.FE.P5	France	FRA	13.5	..	..	..	..	13	..	..	..	..	11.8	11.7	..	..
"Suicide mortality rate, female (per 100,000 female population)"	SH.STA.SUIC.FE.P5	Finland	FIN	11.5	..	..	..	..	9.8	..	..	..	..	7.2	8.1	..	..
"Suicide mortality rate, female (per 100,000 female population)"	SH.STA.SUIC.FE.P5	Denmark	DNK	11.4	..	..	..	..	8.7	..	..	..	..	8.4	8.2	..	..
"Suicide mortality rate, female (per 100,000 female population)"	SH.STA.SUIC.FE.P5	Czech Republic	CZE	6	..	..	..	..	5.2	..	..	..	..	5	5.1	..	..
"Suicide mortality rate, female (per 100,000 female population)"	SH.STA.SUIC.FE.P5	Canada	CAN	6.9	..	..	..	..	7.1	..	..	..	..	7	7	..	..
"Suicide mortality rate, female (per 100,000 female population)"	SH.STA.SUIC.FE.P5	Brazil	BRA	2.5	..	..	..	..	2.8	..	..	..	..	3.2	3.1	..	..
"Suicide mortality rate, female (per 100,000 female population)"	SH.STA.SUIC.FE.P5	Belgium	BEL	12.1	..	..	..	..	13.6	..	..	..	..	13.4	13.8	..	..
"Suicide mortality rate, female (per 100,000 female population)"	SH.STA.SUIC.FE.P5	Austria	AUT	8.6	..	..	..	..	7.5	..	..	..	..	7.5	7.7	..	..
"Suicide mortality rate, female (per 100,000 female population)"	SH.STA.SUIC.FE.P5	Spain	ESP	4.2	..	..	..	..	3.2	..	..	..	..	4.3	4.5	..	..
"Suicide mortality rate, female (per 100,000 female population)"	SH.STA.SUIC.FE.P5	Sweden	SWE	11.2	..	..	..	..	9.5	..	..	..	..	10.5	10.5	..	..
"Suicide mortality rate, female (per 100,000 female population)"	SH.STA.SUIC.FE.P5	Switzerland	CHE	14.8	..	..	..	..	11.4	..	..	..	..	12.3	12.4	..	..
"Suicide mortality rate, male (per 100,000 male population)"	SH.STA.SUIC.MA.P5	United Kingdom	GBR	12	..	..	..	..	11.9	..	..	..	..	13.1	13.5	..	..
"Suicide mortality rate, male (per 100,000 male population)"	SH.STA.SUIC.MA.P5	United States	USA	18.6	..	..	..	..	20.7	..	..	..	..	23	23.6	..	..
"Suicide mortality rate, male (per 100,000 male population)"	SH.STA.SUIC.MA.P5	Russian Federation	RUS	92.5	..	..	..	..	71.7	..	..	..	..	57.8	55.9	..	..
"Suicide mortality rate, male (per 100,000 male population)"	SH.STA.SUIC.MA.P5	Netherlands	NLD	13.5	..	..	..	..	14	..	..	..	..	16	16.2	..	..
"Suicide mortality rate, male (per 100,000 male population)"	SH.STA.SUIC.MA.P5	Italy	ITA	10.3	..	..	..	..	11.4	..	..	..	..	11.8	12.1	..	..
"Suicide mortality rate, male (per 100,000 male population)"	SH.STA.SUIC.MA.P5	Japan	JPN	36.8	..	..	..	..	35.1	..	..	..	..	27.4	26	..	..
"Suicide mortality rate, male (per 100,000 male population)"	SH.STA.SUIC.MA.P5	Hungary	HUN	43.1	..	..	..	..	42.1	..	..	..	..	31.6	29.7	..	..
"Suicide mortality rate, male (per 100,000 male population)"	SH.STA.SUIC.MA.P5	Germany	DEU	20.4	..	..	..	..	20.6	..	..	..	..	19.9	19.7	..	..
"Suicide mortality rate, male (per 100,000 male population)"	SH.STA.SUIC.MA.P5	France	FRA	29	..	..	..	..	27.7	..	..	..	..	24.4	23.9	..	..
"Suicide mortality rate, male (per 100,000 male population)"	SH.STA.SUIC.MA.P5	Finland	FIN	29.6	..	..	..	..	28.4	..	..	..	..	21.8	23.9	..	..
"Suicide mortality rate, male (per 100,000 male population)"	SH.STA.SUIC.MA.P5	Denmark	DNK	21	..	..	..	..	16.8	..	..	..	..	15.5	17.3	..	..
"Suicide mortality rate, male (per 100,000 male population)"	SH.STA.SUIC.MA.P5	Czech Republic	CZE	27.6	..	..	..	..	26	..	..	..	..	22.6	21.4	..	..
"Suicide mortality rate, male (per 100,000 male population)"	SH.STA.SUIC.MA.P5	Canada	CAN	19.5	..	..	..	..	19	..	..	..	..	18.2	18.1	..	..
"Suicide mortality rate, male (per 100,000 male population)"	SH.STA.SUIC.MA.P5	Brazil	BRA	8.5	..	..	..	..	8.7	..	..	..	..	9.9	10	..	..
"Suicide mortality rate, male (per 100,000 male population)"	SH.STA.SUIC.MA.P5	Belgium	BEL	30.6	..	..	..	..	29.3	..	..	..	..	27	27.8	..	..
"Suicide mortality rate, male (per 100,000 male population)"	SH.STA.SUIC.MA.P5	Austria	AUT	26.6	..	..	..	..	25	..	..	..	..	24.9	23.9	..	..
"Suicide mortality rate, male (per 100,000 male population)"	SH.STA.SUIC.MA.P5	Spain	ESP	12.2	..	..	..	..	10.9	..	..	..	..	12	13.1	..	..
"Suicide mortality rate, male (per 100,000 male population)"	SH.STA.SUIC.MA.P5	Sweden	SWE	21.6	..	..	..	..	21	..	..	..	..	20.9	19.1	..	..
"Suicide mortality rate, male (per 100,000 male population)"	SH.STA.SUIC.MA.P5	Switzerland	CHE	27	..	..	..	..	21.1	..	..	..	..	22	22	..	..
"Survival to age 65, female (% of cohort)"	SP.DYN.TO65.FE.ZS	United Kingdom	GBR	89.9059276	90.0804928	90.255058	90.4288884	90.6027188	90.7765492	90.9503796	91.12421	91.15373	91.18325	91.21277	91.24229	91.27181	91.3491128
"Survival to age 65, female (% of cohort)"	SP.DYN.TO65.FE.ZS	United States	USA	87.2369832	87.3983026	87.559622	87.6482302	87.7368384	87.8254466	87.9140548	88.002663	87.8964036	87.7901442	87.6838848	87.5776254	87.471366	87.5426358
"Survival to age 65, female (% of cohort)"	SP.DYN.TO65.FE.ZS	Russian Federation	RUS	76.7053496	77.2577248	77.8101	78.5545124	79.2989248	80.0433372	80.7877496	81.532162	81.9708854	82.4096088	82.8483322	83.2870556	83.725779	83.8964286
"Survival to age 65, female (% of cohort)"	SP.DYN.TO65.FE.ZS	Netherlands	NLD	90.1980196	90.4062078	90.614396	90.7895134	90.9646308	91.1397482	91.3148656	91.489983	91.768229	92.046475	92.324721	92.602967	92.881213	92.9845996
"Survival to age 65, female (% of cohort)"	SP.DYN.TO65.FE.ZS	Italy	ITA	92.6652724	92.8247112	92.98415	93.0794386	93.1747272	93.2700158	93.3653044	93.460593	93.5640754	93.6675578	93.7710402	93.8745226	93.978005	94.0796028
"Survival to age 65, female (% of cohort)"	SP.DYN.TO65.FE.ZS	Japan	JPN	93.2184644	93.3165412	93.414618	93.4835442	93.5524704	93.6213966	93.6903228	93.759249	93.8960564	94.0328638	94.1696712	94.3064786	94.443286	94.5306804
"Survival to age 65, female (% of cohort)"	SP.DYN.TO65.FE.ZS	Hungary	HUN	83.8381234	84.0561202	84.274117	84.5584364	84.8427558	85.1270752	85.4113946	85.695714	85.9970702	86.2984264	86.5997826	86.9011388	87.202495	87.3456266
"Survival to age 65, female (% of cohort)"	SP.DYN.TO65.FE.ZS	Germany	DEU	90.8326736	90.9650218	91.09737	91.176483	91.255596	91.334709	91.413822	91.492935	91.6233514	91.7537678	91.8841842	92.0146006	92.145017	92.300414
"Survival to age 65, female (% of cohort)"	SP.DYN.TO65.FE.ZS	France	FRA	91.386462	91.50668	91.626898	91.7271634	91.8274288	91.9276942	92.0279596	92.128225	92.1713104	92.2143958	92.2574812	92.3005666	92.343652	92.4187036
"Survival to age 65, female (% of cohort)"	SP.DYN.TO65.FE.ZS	Finland	FIN	91.0280252	91.1243706	91.220716	91.4209608	91.6212056	91.8214504	92.0216952	92.22194	92.3542506	92.4865612	92.6188718	92.7511824	92.883493	92.9889004
"Survival to age 65, female (% of cohort)"	SP.DYN.TO65.FE.ZS	Denmark	DNK	88.5301648	88.7851834	89.040202	89.3510794	89.6619568	89.9728342	90.2837116	90.594589	90.6957992	90.7970094	90.8982196	90.9994298	91.10064	91.2138468
"Survival to age 65, female (% of cohort)"	SP.DYN.TO65.FE.ZS	Czech Republic	CZE	88.8582576	89.1013678	89.344478	89.5829966	89.8215152	90.0600338	90.2985524	90.537071	90.6532024	90.7693338	90.8854652	91.0015966	91.117728	91.2356564
"Survival to age 65, female (% of cohort)"	SP.DYN.TO65.FE.ZS	Canada	CAN	90.6811926	90.8129298	90.944667	91.1181934	91.2917198	91.4652462	91.6387726	91.812299	91.8826254	91.9529518	92.0232782	92.0936046	92.163931	92.2575774
"Survival to age 65, female (% of cohort)"	SP.DYN.TO65.FE.ZS	Brazil	BRA	81.2142332	81.6455366	82.07684	82.3929576	82.7090752	83.0251928	83.3413104	83.657428	83.9189164	84.1804048	84.4418932	84.7033816	84.96487	85.1678924
